id,char,pinyin,allPinyins,toneNumber,fileName,audio,isPolyphonic,source,recommendedText,note
47,马,mǎ,mǎ,ma3,047_ma3.mp3,/audio/hanzi/047_ma3.mp3,false,一年级上册常见字,马,
48,鸟,niǎo,niǎo,niao3,048_niao3.mp3,/audio/hanzi/048_niao3.mp3,false,一年级上册常见字,鸟,
49,云,yún,yún,yun2,049_yun2.mp3,/audio/hanzi/049_yun2.mp3,false,一年级上册常见字,云,
50,公,gōng,gōng,gong1,050_gong1.mp3,/audio/hanzi/050_gong1.mp3,false,一年级上册常见字,公,
51,车,chē,chē,che1,051_che1.mp3,/audio/hanzi/051_che1.mp3,false,一年级上册常见字,车,
52,牛,niú,niú,niu2,052_niu2.mp3,/audio/hanzi/052_niu2.mp3,false,一年级上册常见字,牛,
53,羊,yáng,yáng,yang2,053_yang2.mp3,/audio/hanzi/053_yang2.mp3,false,一年级上册常见字,羊,
54,小,xiǎo,xiǎo,xiao3,054_xiao3.mp3,/audio/hanzi/054_xiao3.mp3,false,一年级上册常见字,小,
55,少,shǎo,shǎo/shào,shao3,055_shao3.mp3,/audio/hanzi/055_shao3.mp3,true,一年级上册常见字,少,多音字，请按 pinyin 字段录制当前指定读音。
56,巾,jīn,jīn,jin1,056_jin1.mp3,/audio/hanzi/056_jin1.mp3,false,一年级上册常见字,巾,
57,牙,yá,yá,ya2,057_ya2.mp3,/audio/hanzi/057_ya2.mp3,false,一年级上册常见字,牙,
58,尺,chǐ,chǐ,chi3,058_chi3.mp3,/audio/hanzi/058_chi3.mp3,false,一年级上册常见字,尺,
59,毛,máo,máo,mao2,059_mao2.mp3,/audio/hanzi/059_mao2.mp3,false,一年级上册常见字,毛,
60,卜,bǔ,bǔ/bo,bu3,060_bu3.mp3,/audio/hanzi/060_bu3.mp3,true,一年级上册常见字,卜,多音字，请按 pinyin 字段录制当前指定读音。
61,又,yòu,yòu,you4,061_you4.mp3,/audio/hanzi/061_you4.mp3,false,一年级上册常见字,又,
62,心,xīn,xīn,xin1,062_xin1.mp3,/audio/hanzi/062_xin1.mp3,false,一年级上册常见字,心,
63,风,fēng,fēng,feng1,063_feng1.mp3,/audio/hanzi/063_feng1.mp3,false,一年级上册常见字,风,
64,力,lì,lì,li4,064_li4.mp3,/audio/hanzi/064_li4.mp3,false,一年级上册常见字,力,
65,手,shǒu,shǒu,shou3,065_shou3.mp3,/audio/hanzi/065_shou3.mp3,false,一年级上册常见字,手,
66,水,shuǐ,shuǐ,shui3,066_shui3.mp3,/audio/hanzi/066_shui3.mp3,false,一年级上册常见字,水,
67,广,guǎng,guǎng,guang3,067_guang3.mp3,/audio/hanzi/067_guang3.mp3,false,一年级上册常见字,广,
68,升,shēng,shēng,sheng1,068_sheng1.mp3,/audio/hanzi/068_sheng1.mp3,false,一年级上册常见字,升,
69,足,zú,zú,zu2,069_zu2.mp3,/audio/hanzi/069_zu2.mp3,false,一年级上册常见字,足,
70,走,zǒu,zǒu,zou3,070_zou3.mp3,/audio/hanzi/070_zou3.mp3,false,一年级上册常见字,走,
71,方,fāng,fāng,fang1,071_fang1.mp3,/audio/hanzi/071_fang1.mp3,false,一年级上册常见字,方,
72,半,bàn,bàn,ban4,072_ban4.mp3,/audio/hanzi/072_ban4.mp3,false,一年级上册常见字,半,
73,巴,bā,bā,ba1,073_ba1.mp3,/audio/hanzi/073_ba1.mp3,false,一年级上册常见字,巴,
74,业,yè,yè,ye4,074_ye4.mp3,/audio/hanzi/074_ye4.mp3,false,一年级上册常见字,业,
75,本,běn,běn,ben3,075_ben3.mp3,/audio/hanzi/075_ben3.mp3,false,一年级上册常见字,本,
76,平,píng,píng,ping2,076_ping2.mp3,/audio/hanzi/076_ping2.mp3,false,一年级上册常见字,平,
77,书,shū,shū,shu1,077_shu1.mp3,/audio/hanzi/077_shu1.mp3,false,一年级上册常见字,书,
78,自,zì,zì,zi4,078_zi4.mp3,/audio/hanzi/078_zi4.mp3,false,一年级上册常见字,自,
79,已,yǐ,yǐ,yi3,079_yi3.mp3,/audio/hanzi/079_yi3.mp3,false,一年级上册常见字,已,
80,东,dōng,dōng,dong1,080_dong1.mp3,/audio/hanzi/080_dong1.mp3,false,一年级上册常见字,东,
81,西,xī,xī,xi1,081_xi1.mp3,/audio/hanzi/081_xi1.mp3,false,一年级上册常见字,西,
82,回,huí,huí,hui2,082_hui2.mp3,/audio/hanzi/082_hui2.mp3,false,一年级上册常见字,回,
83,片,piàn,piàn,pian4,083_pian4.mp3,/audio/hanzi/083_pian4.mp3,false,一年级上册常见字,片,
84,皮,pí,pí,pi2,084_pi2.mp3,/audio/hanzi/084_pi2.mp3,false,一年级上册常见字,皮,
85,生,shēng,shēng,sheng1,085_sheng1.mp3,/audio/hanzi/085_sheng1.mp3,false,一年级上册常见字,生,
86,里,lǐ,lǐ,li3,086_li3.mp3,/audio/hanzi/086_li3.mp3,false,一年级上册常见字,里,
87,果,guǒ,guǒ,guo3,087_guo3.mp3,/audio/hanzi/087_guo3.mp3,false,一年级上册常见字,果,
88,几,jǐ,jǐ,ji3,088_ji3.mp3,/audio/hanzi/088_ji3.mp3,false,一年级上册常见字,几,
89,用,yòng,yòng,yong4,089_yong4.mp3,/audio/hanzi/089_yong4.mp3,false,一年级上册常见字,用,
90,鱼,yú,yú,yu2,090_yu2.mp3,/audio/hanzi/090_yu2.mp3,false,一年级上册常见字,鱼,
91,今,jīn,jīn,jin1,091_jin1.mp3,/audio/hanzi/091_jin1.mp3,false,一年级上册常见字,今,
92,正,zhèng,zhèng/zhēng,zheng4,092_zheng4.mp3,/audio/hanzi/092_zheng4.mp3,true,一年级上册常见字,正,多音字，请按 pinyin 字段录制当前指定读音。
93,雨,yǔ,yǔ,yu3,093_yu3.mp3,/audio/hanzi/093_yu3.mp3,false,一年级上册常见字,雨,
94,两,liǎng,liǎng,liang3,094_liang3.mp3,/audio/hanzi/094_liang3.mp3,false,一年级上册常见字,两,
95,瓜,guā,guā,gua1,095_gua1.mp3,/audio/hanzi/095_gua1.mp3,false,一年级上册常见字,瓜,
96,衣,yī,yī,yi1,096_yi1.mp3,/audio/hanzi/096_yi1.mp3,false,一年级上册常见字,衣,
97,来,lái,lái,lai2,097_lai2.mp3,/audio/hanzi/097_lai2.mp3,false,一年级上册常见字,来,
98,年,nián,nián,nian2,098_nian2.mp3,/audio/hanzi/098_nian2.mp3,false,一年级上册常见字,年,
99,左,zuǒ,zuǒ,zuo3,099_zuo3.mp3,/audio/hanzi/099_zuo3.mp3,false,一年级上册常见字,左,
100,右,yòu,yòu,you4,100_you4.mp3,/audio/hanzi/100_you4.mp3,false,一年级上册常见字,右,
101,万,wàn,wàn,wan4,101_wan4.mp3,/audio/hanzi/101_wan4.mp3,false,一年级下册常见字节选,万,
102,丁,dīng,dīng,ding1,102_ding1.mp3,/audio/hanzi/102_ding1.mp3,false,一年级下册常见字节选,丁,
103,冬,dōng,dōng,dong1,103_dong1.mp3,/audio/hanzi/103_dong1.mp3,false,一年级下册常见字节选,冬,
104,百,bǎi,bǎi,bai3,104_bai3.mp3,/audio/hanzi/104_bai3.mp3,false,一年级下册常见字节选,百,
105,齐,qí,qí,qi2,105_qi2.mp3,/audio/hanzi/105_qi2.mp3,false,一年级下册常见字节选,齐,
106,说,shuō,shuō,shuo1,106_shuo1.mp3,/audio/hanzi/106_shuo1.mp3,false,一年级下册常见字节选,说,
107,话,huà,huà,hua4,107_hua4.mp3,/audio/hanzi/107_hua4.mp3,false,一年级下册常见字节选,话,
108,朋,péng,péng,peng2,108_peng2.mp3,/audio/hanzi/108_peng2.mp3,false,一年级下册常见字节选,朋,
109,友,yǒu,yǒu,you3,109_you3.mp3,/audio/hanzi/109_you3.mp3,false,一年级下册常见字节选,友,
110,春,chūn,chūn,chun1,110_chun1.mp3,/audio/hanzi/110_chun1.mp3,false,一年级下册常见字节选,春,
111,高,gāo,gāo,gao1,111_gao1.mp3,/audio/hanzi/111_gao1.mp3,false,一年级下册常见字节选,高,
112,你,nǐ,nǐ,ni3,112_ni3.mp3,/audio/hanzi/112_ni3.mp3,false,一年级下册常见字节选,你,
113,们,men,men,men5,113_men5.mp3,/audio/hanzi/113_men5.mp3,false,一年级下册常见字节选,们,
114,红,hóng,hóng,hong2,114_hong2.mp3,/audio/hanzi/114_hong2.mp3,false,一年级下册常见字节选,红,
115,绿,lǜ,lǜ,lv4,115_lv4.mp3,/audio/hanzi/115_lv4.mp3,false,一年级下册常见字节选,绿,
116,花,huā,huā,hua1,116_hua1.mp3,/audio/hanzi/116_hua1.mp3,false,一年级下册常见字节选,花,
117,草,cǎo,cǎo,cao3,117_cao3.mp3,/audio/hanzi/117_cao3.mp3,false,一年级下册常见字节选,草,
118,爷,yé,yé,ye2,118_ye2.mp3,/audio/hanzi/118_ye2.mp3,false,一年级下册常见字节选,爷,
119,节,jié,jié,jie2,119_jie2.mp3,/audio/hanzi/119_jie2.mp3,false,一年级下册常见字节选,节,
120,岁,suì,suì,sui4,120_sui4.mp3,/audio/hanzi/120_sui4.mp3,false,一年级下册常见字节选,岁,
121,亲,qīn,qīn,qin1,121_qin1.mp3,/audio/hanzi/121_qin1.mp3,false,一年级下册常见字节选,亲,
122,的,de,de/dí/dì,de5,122_de5.mp3,/audio/hanzi/122_de5.mp3,true,一年级下册常见字节选,的,多音字，请按 pinyin 字段录制当前指定读音。
123,行,xíng,xíng/háng/héng,xing2,123_xing2.mp3,/audio/hanzi/123_xing2.mp3,true,一年级下册常见字节选,行,多音字，请按 pinyin 字段录制当前指定读音。
124,古,gǔ,gǔ,gu3,124_gu3.mp3,/audio/hanzi/124_gu3.mp3,false,一年级下册常见字节选,古,
125,声,shēng,shēng,sheng1,125_sheng1.mp3,/audio/hanzi/125_sheng1.mp3,false,一年级下册常见字节选,声,
126,多,duō,duō,duo1,126_duo1.mp3,/audio/hanzi/126_duo1.mp3,false,一年级下册常见字节选,多,
127,处,chù,chù/chǔ,chu4,127_chu4.mp3,/audio/hanzi/127_chu4.mp3,true,一年级下册常见字节选,处,多音字，请按 pinyin 字段录制当前指定读音。
128,知,zhī,zhī,zhi1,128_zhi1.mp3,/audio/hanzi/128_zhi1.mp3,false,一年级下册常见字节选,知,
129,忙,máng,máng,mang2,129_mang2.mp3,/audio/hanzi/129_mang2.mp3,false,一年级下册常见字节选,忙,
130,洗,xǐ,xǐ,xi3,130_xi3.mp3,/audio/hanzi/130_xi3.mp3,false,一年级下册常见字节选,洗,
131,认,rèn,rèn,ren4,131_ren4.mp3,/audio/hanzi/131_ren4.mp3,false,一年级下册常见字节选,认,
132,扫,sǎo,sǎo,sao3,132_sao3.mp3,/audio/hanzi/132_sao3.mp3,false,一年级下册常见字节选,扫,
133,真,zhēn,zhēn,zhen1,133_zhen1.mp3,/audio/hanzi/133_zhen1.mp3,false,一年级下册常见字节选,真,
134,父,fù,fù,fu4,134_fu4.mp3,/audio/hanzi/134_fu4.mp3,false,一年级下册常见字节选,父,
135,母,mǔ,mǔ,mu3,135_mu3.mp3,/audio/hanzi/135_mu3.mp3,false,一年级下册常见字节选,母,
